Sample	Reads	Aligned_0x	Aligned_1x	Aligned_gt1x	Overall_alignment_rate
MCW_JDH_CT_100	13427336	224930	9863811	3338595	98.32%
MCW_JDH_CT_101	11115926	189621	8117226	2809079	98.29%
MCW_JDH_CT_102	9876282	275938	7187695	2412649	97.21%
MCW_JDH_CT_103	7633938	252676	4266996	3114266	96.69%
MCW_JDH_CT_104	13876315	169064	9406078	4301173	98.78%
MCW_JDH_CT_105	11939905	194338	8112438	3633129	98.37%
MCW_JDH_CT_106	10385428	161075	6387710	3836643	98.45%
MCW_JDH_CT_107	16373256	245540	10792258	5335458	98.50%
MCW_JDH_CT_108	16425857	311932	10831458	5282467	98.10%
MCW_JDH_CT_109	13640771	194332	8863526	4582913	98.58%
MCW_JDH_CT_110	8650319	313597	5948208	2388514	96.37%
MCW_JDH_CT_111	10166791	165313	7494606	2506872	98.37%
MCW_JDH_CT_112	10564032	161802	7907553	2494677	98.47%
MCW_JDH_CT_113	12926629	207526	9785735	2933368	98.39%
MCW_JDH_CT_114	14836352	210141	10296490	4329721	98.58%
MCW_JDH_CT_115	9745129	174841	7278012	2292276	98.21%
MCW_JDH_CT_116	9116965	268814	6929717	1918434	97.05%
MCW_JDH_CT_117	6268643	318090	3712501	2238052	94.93%
MCW_JDH_CT_118	9132190	190003	6648290	2293897	97.92%
MCW_JDH_CT_119	7441870	180091	5275731	1986048	97.58%
MCW_JDH_CT_120	15337395	356281	10862523	4118591	97.68%
MCW_JDH_CT_121	8874239	208483	6326162	2339594	97.65%
MCW_JDH_CT_122	6619761	213159	4716751	1689851	96.78%
MCW_JDH_CT_123	8036689	232963	5820892	1982834	97.10%
MCW_JDH_CT_124	2607268	64804	1619875	922589	97.51%
MCW_JDH_CT_125	9053619	88737	6544630	2420252	99.02%
MCW_JDH_CT_126	11140754	154810	7985930	3000014	98.61%
MCW_JDH_CT_127	12787368	145876	8809517	3831975	98.86%
MCW_JDH_CT_128	13138341	151389	9837430	3149522	98.85%
MCW_JDH_CT_129	8572252	133753	6436022	2002477	98.44%
MCW_JDH_CT_130	10315613	195517	7885590	2234506	98.10%
MCW_JDH_CT_131	416	24	196	196	94.23%
MCW_JDH_CT_132	17690148	239968	12257068	5193112	98.64%
MCW_JDH_CT_133	7473569	107511	5367353	1998705	98.56%
MCW_JDH_CT_134	7659341	120900	4709105	2829336	98.42%
MCW_JDH_CT_135	9878234	175644	7123106	2579484	98.22%
MCW_JDH_CT_136	1668531	62915	1070838	534778	96.23%
MCW_JDH_CT_137	7207894	172621	5393816	1641457	97.61%
MCW_JDH_CT_138	5112744	105311	3499946	1507487	97.94%
MCW_JDH_CT_139	7553864	121365	5565684	1866815	98.39%
MCW_JDH_CT_140	7442286	181756	4865274	2395256	97.56%
MCW_JDH_CT_141	6824569	134626	4752422	1937521	98.03%
MCW_JDH_CT_142	13075403	534947	9545685	2994771	95.91%
MCW_JDH_CT_143	18410441	234120	13174854	5001467	98.73%
MCW_JDH_CT_144	14048528	254347	10411138	3383043	98.19%
MCW_JDH_CT_145	8496659	181950	5762342	2552367	97.86%
MCW_JDH_CT_146	7895291	362641	5948996	1583654	95.41%
MCW_JDH_CT_147	6241749	123210	4631334	1487205	98.03%
MCW_JDH_CT_148	8626686	113512	6087034	2426140	98.68%
MCW_JDH_CT_149	9512957	137387	6359430	3016140	98.56%
MCW_JDH_CT_150	6930622	174892	4662100	2093630	97.48%
MCW_JDH_CT_151	14161338	263420	9916919	3980999	98.14%
MCW_JDH_CT_152	8761540	196187	6248493	2316860	97.76%
MCW_JDH_CT_153	10116342	211758	6902535	3002049	97.91%
MCW_JDH_CT_155	16069050	304459	12553425	3211166	98.11%
MCW_JDH_CT_156	6874058	402613	5332519	1138926	94.14%
MCW_JDH_CT_157	8379593	362170	6349010	1668413	95.68%
MCW_JDH_CT_158	6880321	228199	5218001	1434121	96.68%
MCW_JDH_CT_159	10782115	440851	8251144	2090120	95.91%
MCW_JDH_CT_160	7086291	220276	5438350	1427665	96.89%
MCW_JDH_CT_162	5699379	181890	3892206	1625283	96.81%
MCW_JDH_CT_163	8097349	361842	5851864	1883643	95.53%
MCW_JDH_CT_164	8976280	298436	6478458	2199386	96.68%
MCW_JDH_CT_165	12511901	384191	9056469	3071241	96.93%
MCW_JDH_CT_166	8948726	309447	6116747	2522532	96.54%
MCW_JDH_CT_167	6002922	170986	4422745	1409191	97.15%
MCW_JDH_CT_168	2903863	62124	1988039	853700	97.86%
MCW_JDH_CT_169	6859545	176907	4968744	1713894	97.42%
MCW_JDH_CT_170	9860038	346797	7443499	2069742	96.48%
MCW_JDH_CT_171	9985148	305034	7673403	2006711	96.95%
MCW_JDH_CT_172	12972016	216462	10080875	2674679	98.33%
MCW_JDH_CT_173	13573442	369803	10362292	2841347	97.28%
MCW_JDH_CT_174	7514727	239105	5715761	1559861	96.82%
MCW_JDH_CT_175	2499638	108852	1562673	828113	95.65%
MCW_JDH_CT_176	10814020	262586	7987817	2563617	97.57%
MCW_JDH_CT_177	6246695	222267	4369802	1654626	96.44%
MCW_JDH_CT_178	10766616	373924	7964226	2428466	96.53%
MCW_JDH_CT_179	8225970	301339	6047272	1877359	96.34%
MCW_JDH_CT_180	9288377	224421	6956492	2107464	97.58%
MCW_JDH_CT_181	12288247	352130	9144286	2791831	97.13%
MCW_JDH_CT_182	2421552	83893	1640752	696907	96.54%
MCW_JDH_CT_183	4064283	74649	3136857	852777	98.16%
MCW_JDH_CT_184	7587671	155960	5681436	1750275	97.94%
MCW_JDH_CT_185	6798345	247394	5351371	1199580	96.36%
MCW_JDH_CT_186	5023288	229275	3820178	973835	95.44%
MCW_JDH_CT_187	7815356	248371	6097457	1469528	96.82%
MCW_JDH_CT_188	6679112	249446	5195430	1234236	96.27%
